id,sex,Age,religion,caste,cooch_behar_birth,mongoldoi_birth,cooch_behar_last_resd,mongoldoi_last_resd,duration_stay_current_location,reason_migration_code,reason_migration,yrs_school,yrs_migration_num,doc_svl_delhi,occ_status_before_mig,earnings_before_mig,task_cooking,task_utensils,task_cleaning,job_contract,nature_payment_code,nature_payment,labour_days,leaves,length_working_day,frequency_native_visit,days_did_not_find_employment,earnings,sick_leave,paid_leave,travel_allowance,bonus_festival,security_employment,differential_treatment_employer,member_union,job_connection,job_connection_code,return_home_covid
1,Female,,Muslim,,0,1,0,1,0.17,2,marriage,8,0.17,0,,,0,1,0,0,1,Cash,28,2,7,Once in 3-4 years,20,16500,0,0,0,0,0,1,0,Family member,2,0
2,Female,,Muslim,Sheikh,0,1,0,1,16,1,work/employment,10,16,1,,,1,0,0,0,2,UPI/Bank transfer,28,2,6,Once in 3-4 years,,14000,1,0,0,1,1,0,0,Friend/Acquaintance,1,0
3,Female,,Muslim,Sunni,1,0,1,0,25,1,work/employment,8,25,0,,,0,0,1,0,3,Both,28,2,8,Once a year ,120,11000,0,0,0,0,1,1,1,whatsapp group,5,0
4,Female,,Muslim,,1,0,1,0,10,1,work/employment,6,10,0,,,1,0,1,0,3,Both,28,2,5,Once a year ,,11000,1,1,0,1,1,1,0,Friend/Acquaintance,1,0
5,Female,,Muslim,Sunni,0,1,0,1,15,1,work/employment,0,15,0,,,0,0,1,0,1,Cash,28,2,7,Once a year ,90,15000,0,0,0,1,1,1,1,Employer,3,1
6,Female,,Muslim,,1,0,1,0,8,2,marriage,10,8,0,,,1,0,0,0,3,Both,28,2,5,Once a year ,120,11000,0,0,0,1,1,0,1,Friend/Acquaintance,1,0
7,Female,,Muslim,,1,0,1,0,0.75,1,work/employment,10,0.75,0,,,1,0,1,0,3,Both,28,2,3,Once a year ,150,8500,1,1,0,1,1,0,0,Family member,2,0
8,Female,,Muslim,OBC,1,0,1,0,1,1,work/employment,10,4,0,,,0,0,1,0,1,Cash,28,2,4,Once in two years,150,7000,1,1,0,1,1,0,1,Friend/Acquaintance,1,0
10,Female,,Muslim,,1,0,1,0,10,2,marriage,2,10,0,,,1,0,1,0,1,Cash,28,2,6,Once a year ,,6000,0,0,0,0,0,0,0,Friend/Acquaintance,1,1
11,Female,,Muslim,Kar,1,0,1,0,20,3,moved with household,0,20,1,Househelp ,500/day,1,0,1,0,1,Cash,30,0,7,Once a year ,,11000,1,0,0,1,0,0,1,Employer,3,0
12,Female,,Muslim,,1,0,1,0,0.5,1,work/employment,8,3,0,,,0,1,0,0,1,Cash,28,2,8,Once in two years,,12000,1,0,0,1,1,0,0,Guard of the colony,4,0
13,Female,,Muslim,Shia,1,0,1,0,20,3,moved with household,0,20,1,,,0,0,1,1,1,Cash,28,2,4,Once in two years,,10000,1,0,0,1,1,0,1,Guard of the colony,4,1
14,Female,,Muslim,Shia,1,0,1,0,14,1,work/employment,4,14,0,Farmer,20000/month,1,0,1,0,1,Cash,28,2,9,Once in two years,,13000,1,1,0,1,1,0,1,Employer,3,0
15,Female,,Muslim,,1,0,1,0,14,1,work/employment,0,14,1,Farmer,,0,0,1,0,1,Cash,28,2,5,Once a year ,,8000,1,1,0,1,1,0,0,Friend/Acquaintance,1,0
16,Female,,Muslim,Sunni,1,0,1,0,17,3,moved with household,10,17,0,,,0,0,1,0,1,Cash,28,2,2,Once a year ,30,1500,1,1,0,0,0,1,1,Friend/Acquaintance,1,1
19,Female,,Muslim,,1,0,1,0,12,2,marriage,0,16,0,,,0,0,1,0,1,Cash,29,1,2,Once a year ,,5000,1,1,0,1,1,0,1,Employer,3,1
